date,category,buy_value_crore,sell_value_crore,net_value_crore
11-Aug-2026,DII,15006.72,14981.95,24.77
11-Aug-2026,FII/FPI,14628.47,14369.92,258.55
13-Aug-2026,DII,16565.14,12212.05,4353.09
13-Aug-2026,FII/FPI,14492.46,15003.15,-510.69
14-Aug-2026,DII,14295.49,13939.09,356.4
14-Aug-2026,FII/FPI,12854.44,12346.32,508.12
17-Aug-2026,DII,16654.08,11552.62,5101.46
17-Aug-2026,FII/FPI,11546.16,14081.26,-2535.1
18-Aug-2026,DII,15566.07,12986.76,2579.31
18-Aug-2026,FII/FPI,13543.3,11891.77,1651.53
19-Aug-2026,DII,17288.58,13314.86,3973.72
19-Aug-2026,FII/FPI,12875.76,12467.77,407.99
20-Aug-2026,DII,16932.72,13395.01,3537.71
20-Aug-2026,FII/FPI,11411.73,11995.09,-583.36
21-Aug-2026,DII,15258.71,13134.57,2124.14
21-Aug-2026,FII/FPI,12560.91,13103.62,-542.71
24-Aug-2026,DII,15337.18,12843.77,2493.41
24-Aug-2026,FII/FPI,12332.64,11150.98,1181.66
