sector,period,buy_crore,sell_crore,net_crore
Auto,3M,7818,822,6995
Consumer,3M,6601,599,6002
Energy,3M,25461,621,24840
FMCG,3M,6579,4941,1637
Financials,3M,1225,50230,-49005
Healthcare,3M,11104,271,10833
IT,3M,8739,11421,-2682
Industrials,3M,6277,923,5353
Materials,3M,5295,6225,-929
Telecom,3M,5680,139,5541
Transportation,3M,3812,93,3719
Utilities,3M,1465,4295,-2830
Auto,6M,11851,5429,6422
Consumer,6M,10527,3873,6654
Energy,6M,21673,7127,14546
FMCG,6M,32507,793,31715
Financials,6M,107435,2620,104814
Healthcare,6M,14880,5280,9601
IT,6M,31868,8452,23417
Industrials,6M,11155,3245,7911
Materials,6M,19614,3426,16187
Telecom,6M,5643,2997,2646
Transportation,6M,5329,431,4898
Utilities,6M,8144,3376,4768
Auto,1Y,49114,1198,47916
Consumer,1Y,28214,688,27526
Energy,1Y,32619,24981,7637
FMCG,1Y,33367,12713,20654
Financials,1Y,128517,32763,95754
Healthcare,1Y,26271,14049,12222
IT,1Y,85468,2085,83384
Industrials,1Y,31306,764,30543
Materials,1Y,44661,1419,43241
Telecom,1Y,18480,451,18029
Transportation,1Y,16434,401,16033
Utilities,1Y,16142,6898,9244
Auto,2Y,46896,22224,24671
Consumer,2Y,88668,2163,86506
Energy,2Y,57729,57471,258
FMCG,2Y,117391,2863,114528
Financials,2Y,173861,148699,25161
Healthcare,2Y,59142,21498,37644
IT,2Y,118314,42966,75349
Industrials,2Y,3382,54218,-50835
Materials,2Y,115334,2813,112521
Telecom,2Y,14505,20055,-5550
Transportation,2Y,17297,5743,11553
Utilities,2Y,42085,3995,38090
